doi,previous_label,new_label,confidence,title,venue,justification
10.5194/tc-19-5827-2025,Simple Citation,Level 1: Data Usage,4,Stratified suppression of turbulence in an ice shelf basal melt parameterisation,The Cryosphere,"The model is forced at the boundaries by the bias-corrected version of Nakayama et al. (2019) model output, which is in turn forced by a regional downscaling of ECCO LLC270 (Nakayama et al., 2018)."
10.5194/essd-17-719-2025,Simple Citation,Level 1: Data Usage,5,A global monthly 3D field of seawater pH over 3 decades: a machine learning approach,Earth System Science Data,"The ECCO2 mixed-layer depth (MLD) product has been used in reconstructions... The pH data prior to 1992 are unavailable, as the predictors used from the ECCO2 cube92 product (Menemenlis et al., 2008) also start from 1992."
10.1038/s41586-025-08722-8,Simple Citation,Level 1: Data Usage,5,Wide-swath satellite altimetry unveils global submesoscale ocean dynamics,Nature,Data Fig. 3. SWOT observes much stronger SSHA gradients than models predict in the Kuroshio Extension. ... Simulated SWOT SSHA gradient magnitude from the 1/48° global LLC4320 model... Simulated SSH data from the MITgcm LLC4320 data are available at 10.5067/KARIN-2MES1.
10.5194/gmd-18-5937-2025,Simple Citation,Level 1: Data Usage,5,The Atmospheric Potential Oxygen forward Model Intercomparison Project (APO-MIP1): evaluating simulated atmospheric transport of air-sea gas exchange tracers and APO flux products,Geoscientific Model Development,"We present results from the first version of the Atmospheric Potential Oxygen forward Model Intercomparison Project (APO-MIP1), which forward transports three air-sea APO flux products in eight atmospheric transport models or model variants, aiming to evaluate atmospheric transport and flux representations by comparing simulations against surface station, airborne, and shipboard observations of APO."
10.5194/os-19-1083-2023,Simple Citation,Level 1: Data Usage,5,The Weddell Gyre heat budget associated with the Warm Deep Water circulation derived from Argo floats,Ocean Science (OS),"The paper uses ""velocity estimates from the ECCO (Estimating the Circulation and Climate of the Ocean) live-access server"" to derive diffusivities for its heat budget analysis."
10.1007/s00190-025-01969-z,Simple Citation,Level 1: Data Usage,5,Harnessing C21 and S21 coefficients from GRACE and hybrid solutions for comprehensive analysis of polar motion excitation,Journal of Geodesy,OAM series based on the ECCO model were processed by JPL and are available at https://www.iers.org/IERS/EN/DataProducts/GeophysicalFluidsData/geoFluids.html. ... GAO2=GAM-AAM (from NCEP/NCAR)-OAM (from ECCO)
10.1038/s41558-025-02379-x,Simple Citation,Level 1: Data Usage,5,Antarctic phytoplankton communities restructure under shifting sea-ice regimes,Nature Climate Change,ECCO-Darwin model output is available at the ECCO data portal https://data.nas.nasa.gov/ecco/data.php?dir=/eccodata/llc_270/ecco_darwin_v5/ (ref. 70).
10.5194/os-21-1081-2025,Simple Citation,Level 1: Data Usage,5,Stratification and overturning circulation are intertwined controls on ocean heat uptake efficiency in climate models,Ocean Science (OS),"For comparison of model fields with observationally constrained data, we use potential temperature and salinity data from the ECCO Version 4 global state estimate... To calculate stratification strength and MLD, the ECCO output fields are regridded and processed in the same way as the CMIP6 model output."
10.5194/gmd-16-4639-2023,Simple Citation,Level 1: Data Usage,5,"Using Probability Density Functions to Evaluate Models (PDFEM, v1.0) to compare a biogeochemical model with satellite-derived chlorophyll",Geoscientific Model Development,The physical component uses the MITgcm in a three-dimensional global configuration developed as part of the Estimating the Circulation and Climate of the Ocean project (ECCOv4).
10.5194/esd-15-323-2024,Simple Citation,Level 1: Data Usage,5,Estimating freshwater flux amplification with ocean tracers via linear response theory,Earth System Dynamics,"Here, we use mean freshwater fluxes from the Estimating the Circulation and Climate of the Ocean (ECCO) state estimate as the climatological hydrological cycle strength (see Appendix C) (Forget et al., 2015; ECCO Consortium et al., 2021)."
10.1038/s42256-024-00867-x,Simple Citation,Level 1: Data Usage,5,Partial-convolution-implemented generative adversarial network for global oceanic data assimilation,Nature Machine Intelligence,"The paper explicitly lists ""ECCO v.4r4"" in its Data Availability section, indicating that ECCO outputs are used in the study."
10.5194/gmd-16-1569-2023,Simple Citation,Level 1: Data Usage,5,UKESM1.1: development and evaluation of an updated configuration of the UK Earth System Model,Geoscientific Model Development,"Figure 12 shows the global streamfunction of the ocean's meridional overturning circulation (MOC), produced by the Estimating the Circulation and Climate of the Ocean consortium (ECCO; Forget et al., 2015; Fukumori et al., 2021) ocean reanalysis, and compares it with UKESM1 and UKESM1.1."
10.5194/acp-22-12945-2022,Simple Citation,Level 1: Data Usage,5,Modelling the growth of atmospheric nitrous oxide using a global hierarchical inversion,Atmospheric Chemistry and Physics,"oceanic emissions using output from the ocean model ECCO2—Darwin (Ganesan et al., 2020)"
10.1007/s00382-025-07886-3,Simple Citation,Level 1: Data Usage,5,Decadal sea level change in the South China Sea: salinity as a key contributor,Climate Dynamics,ECCO2 gridded temperature and salinity data is available from https://ecco.jpl.nasa.gov/drive/files/ECCO2/cube92_latlon_quart_90S90N/monthly .
10.1007/s00343-022-2209-8,Simple Citation,Level 1: Data Usage,5,Comparison of multiple salinity datasets: upper ocean salinity and stratification in the tropical Pacific during the Argo period,Journal of Oceanology and Limnology,"Comparison of multiple salinity datasets: upper ocean salinity and stratification in the tropical Pacific during the Argo period. The paper compares SODA3, ECCO4r3, and ORAS5 Ocean Reanalyses."
10.5194/os-18-109-2022,Simple Citation,Level 1: Data Usage,5,Components of 21 years (1995–2015) of absolute sea level trends in the Arctic,Ocean Science (OS),"This study combines various in situ data ... and model data (ECCOv4r4, VLM and geoid change) to reconstruct the Arctic sea level change. ... Figure 5g shows the OBP trend from the ECCOv4r4 model"
10.5194/essd-16-2543-2024,Simple Citation,Level 1: Data Usage,5,Global nitrous oxide budget (1980–2020),Earth System Science Data,"Global shelf N2O emissions were estimated by two high-resolution models (CNRM and ECCO) and one data product (MEM-RF). The average of the three estimates is 1.2 Tg N yr−1, ranging from 0.6 Tg N yr−1 (ECCO) to 1.6 Tg N yr−1 (MEM-RF)."
10.5194/ACP-21-6663-2021,Simple Citation,Level 1: Data Usage,5,Linking global terrestrial CO2 fluxes and environmental drivers: inferences from the Orbiting Carbon Observatory 2 satellite and terrestrial biospheric models,Atmospheric Chemistry and Physics,"This column includes ... ocean fluxes from NASA Estimating the Circulation and Climate of the Ocean (ECCO) Darwin (Carroll et al., 2020). We estimate a single coefficient or scaling factor (β) for this column. These fluxes are input into the regression..."
10.1029/2019GL083074,Simple Citation,Level 1: Data Usage,5,Surface Kinetic Energy Distributions in the Global Oceans From a High‐Resolution Numerical Model and Surface Drifter Observations,Geophysical Research Letters,"The surface kinetic energy of a 1/48° global ocean simulation and its distribution as a function of frequency and location are compared with the one estimated from 15,329 globally distributed surface drifter observations."
10.1007/s00382-020-05304-4,Simple Citation,Level 1: Data Usage,3,Advances in reconstructing the AMOC using sea surface observations of salinity,Climate Dynamics,"The paper uses ECCO4r3 as one of the ocean reanalyses for comparison and context regarding temperature and salinity variability, as indicated by the cited team paper context."
10.5194/SE-11-379-2020,Simple Citation,Level 1: Data Usage,5,GRACE constraints on Earth rheology of the Barents Sea and Fennoscandia,Solid Earth,"We account for the uncertainty in non-tidal ocean changes by using the ECCO ocean model (Forget et al., 2015) as alternative for the ocean model used in standard GRACE level 2 processing."
10.5194/ESSD-12-1711-2020,Simple Citation,Level 1: Data Usage,5,A multi-year time series of observation-based 3D horizontal and vertical quasi-geostrophic global ocean currents,Earth System Science Data,"OMEGA3D vertical velocity mean pattern and variability have been compared here with two global model reanalyses that include vertical velocity fields as disseminated output, namely Estimating the Circulation and Climate of the Ocean (ECCO; Forget et al., 2015)"
10.5194/tc-19-919-2025,Simple Citation,Level 1: Data Usage,5,A history-matching analysis of the Antarctic Ice Sheet since the Last Interglacial – Part 1: Ice sheet evolution,The Cryosphere,"The ocean temperature forcing is based on transient TraCE-21ka simulations (He, 2011) which are PD bias-corrected by the Estimating the Circulation and Climate of the Ocean (ECCO) reanalysis ocean temperatures (Fukumori et al., 2018)."
10.5194/TC-12-2869-2018,Simple Citation,Level 1: Data Usage,5,Seasonal dynamics of Totten Ice Shelf controlled by sea ice buttressing,The Cryosphere,ECCO v4-r3 sea ice effective thickness data can be found at ftp://ecco.jpl.nasa.gov/Version4/Release3/nctiles_daily/SIheff (last access: 15 April 2018).
10.1007/s12040-019-1322-3,Simple Citation,Level 1: Data Usage,5,Observed variability of the West India Coastal Current on the continental slope from 2009–2018,"Proceedings of the Indian Academy of Sciences, Earth and Planetary Sciences",The ECCO2 Ocean State estimate was downloaded from ftp://ecco.jpl.nasa.gov/ECCO2/cube92_latlon_quart_90S90N/ and the HyCOM Reanalysis product from https://hycom.org/dataserver/gofs-3pt1/reanalysis . The validation of these two model-based data products is due to the comments received from an anonymous reviewer.
10.5194/tc-19-1775-2025,Simple Citation,Level 1: Data Usage,5,"Disentangling the oceanic drivers behind the post-2000 retreat of Sermeq Kujalleq, Greenland (Jakobshavn Isbræ)",The Cryosphere,"The paper explicitly states using ""depth-averaged fjord water temperatures from the water temperature in Egedesminde Dyb in the coupled ocean and sea ice simulation provided by the Estimating the Circulation and Climate of the Ocean, Phase II, project (Menemenlis et al., 2008)"" and ""Estimated Disko Bay fjord temperatures sourced from ECCO2""."
10.5194/TC-14-93-2020,Simple Citation,Level 1: Data Usage,5,Feature-based comparison of sea ice deformation in lead-permitting sea ice simulations,The Cryosphere,"The lateral boundary conditions are taken from the globally optimized ECCO-2 simulations (Menemenlis et al., 2008)."
10.5194/TC-13-627-2019,Simple Citation,Level 1: Data Usage,4,Leads and ridges in Arctic sea ice from RGPS data and a new tracking algorithm,The Cryosphere,"The lateral boundary conditions are taken from globally optimized ECCO2 simulations (Menemenlis et al., 2008)."
10.5194/essd-16-4267-2024,Simple Citation,Level 1: Data Usage,5,A 20-year (1998–2017) global sea surface dimethyl sulfide gridded dataset with daily resolution,Earth System Science Data,"Daily MLD, DSWF, and SSS data were obtained from version 4 release 4 (V4r4) of the modeling outputs of NASA's Estimating the Circulation and Climate of the Ocean (ECCO) consortium (Forget et al., 2015). ... we utilized the daily 10m WS data from ECCO V4r4"
10.1007/s40641-016-0043-9,Simple Citation,Level 1: Data Usage,5,The Curious Nature of the Hemispheric Symmetry of the Earth’s Water and Energy Balances,Current Climate Change Reports,"Our main foci are the ECCOv4 [ 18 ] and GECCO2 (Köhl, 38 ) datasets that are based on the same model (MITgcm), but employ different adjusted forcing fields and bulk formulae."
10.5194/TC-12-3511-2018,Simple Citation,Level 1: Data Usage,5,Exploration of Antarctic Ice Sheet 100-year contribution to sea level rise and associated model uncertainties using the ISSM framework,The Cryosphere,"Initial and boundary conditions are provided by the adjoint solution of the Estimating the Circulation and Climate of the Ocean, Phase II (ECCO2) project (Menemenlis et al., 2008)"
10.1007/s11600-018-0227-x,Simple Citation,Level 1: Data Usage,5,Terrestrial water storage variations and their effect on polar motion,Acta Geophysica,"GRACE coefficients for degrees 2 and higher from the CSR Release-05 solution, together with two oceanic models, JPL ECCO (Gross et al. 2003 ; Stammer et al. 2002 ) and OMCT (Thomas 2002 ), were used."
10.5194/OS-14-1349-2018,Simple Citation,Level 1: Data Usage,5,"Heat, salt, and volume transports in the eastern Eurasian Basin of the Arctic Ocean from 2 years of mooring observations",Ocean Science (OS),"In order to estimate the potential impact of meandering on volume transports, we used simulations performed with a state-of-the-art ECCO (Estimation of the Circulation and Climate of the Ocean) numerical model (Nguyen et al., 2017)."
10.5194/TC-12-3735-2018,Simple Citation,Level 1: Data Usage,5,Comparison of four calving laws to model Greenland outlet glaciers,The Cryosphere,"We use ocean temperature from the Estimating the Circulation and Climate of the Ocean, Phase 2 (ECCO2) project (Rignot et al., 2012)."
10.5194/gmd-2021-338,Simple Citation,Level 1: Data Usage,4,GNOM v1.0: An optimized steady-state model of the modern marine neodymium cycle,Geoscientific Model Development,"The GNOM is embedded in a data-constrained steady-state circulation that affords spectacular computational efficiency, which we leverage to estimate biogeochemical parameters via systematic objective optimization."
10.1007/s00190-017-1036-8,Simple Citation,Level 1: Data Usage,5,Hydrological excitation of polar motion by different variables from the GLDAS models,Journal of Geodesy,The GAO were calculated as differences between GAM (C04 series) and the sum of AAM (the NCEP/NCAR model) and OAM (the ECCO model)
