doi,previous_label,new_label,confidence,title,venue,justification
10.5194/gmd-16-6161-2023,Simple Citation,Level 1: Data Usage,5,A simplified non-linear chemistry transport model for analyzing NO2 column observations: STILT–NOx,Geoscientific Model Development,"To evaluate how representative enhancements between 0 and 2 km are compared to the total tropospheric column enhancements (which can include sources from lightning and aviation), we analyzed vertical distributions of NO x mixing ratios from TCR-2 (Miyazaki et al., 2020)."
10.5194/acp-24-9975-2024,Simple Citation,Level 1: Data Usage,5,Tropical tropospheric ozone distribution and trends from in situ and satellite data,Atmospheric Chemistry and Physics,"The paper explicitly states: ""The JPL TCR-2 chemical reanalysis (1995–2018) (Miyazaki et al., 2020)"" in the context of simulating ozone burden increases, indicating direct use of the reanalysis product."
10.5194/acp-22-12705-2022,Simple Citation,Level 1: Data Usage,5,Peculiar COVID-19 effects in the Greater Tokyo Area revealed by spatiotemporal variabilities of tropospheric gases and light-absorbing aerosols,Atmospheric Chemistry and Physics,"As a further reference, we compared the observed changes with equivalent CAMS data (Inness et al., 2019), which assimilate satellite observations of tropospheric NO2 (Sect. 2.1.6)."
10.5194/acp-25-9905-2025,Simple Citation,Level 1: Data Usage,5,Ground-based tropospheric ozone measurements: regional tropospheric ozone column trends from the TOAR-II/HEGIFTOM homogenized datasets,Atmospheric Chemistry and Physics,"First, the regions for which trends are estimated are determined with a correlation analysis between the tropospheric ozone column monthly anomalies retrieved from CAMS."
10.5194/acp-24-12225-2024,Simple Citation,Level 1: Data Usage,4,"Tropospheric ozone precursors: global and regional distributions, trends, and variability",Atmospheric Chemistry and Physics,"Miyazaki et al. (2014) assimilated OMI NO2, MLS and TES (Tropospheric Emission Spectrometer on NASA/Aura) O3, and MOPITT CO into a chemical transport model to provide comprehensive constraints on the global LNOx source, resulting in an estimate of mean PE of 310 moles per flash."
10.5194/essd-16-4351-2024,Simple Citation,Level 1: Data Usage,5,Changes in air pollutant emissions in China during two clean-air action periods derived from the newly developed Inversed Emission Inventory for Chinese Air Quality (CAQIEI),Earth System Science Data,"Comparisons of CAQIEI with previous inventories, including MEIC, ABaCAS, HTAPv3, EDGARv6, CEDS, and TCR-2, on the basis of the natural emissions obtained from CAMS and GFAS showed reasonable agreement for the estimation of NOx, SO2, and NMVOC emissions in China."
10.5194/ACP-21-13311-2021,Simple Citation,Level 1: Data Usage,5,A satellite-data-driven framework to rapidly quantify air-basin-scale NOx emissions and its application to the Po Valley during the COVID-19 pandemic,Atmospheric Chemistry and Physics,"The Jet Propulsion Laboratory (JPL) chemical reanalysis provides monthly top-down emission estimates at 1.1 ∘ × 1.1 ∘ spatial resolution for 2005–2019 (Miyazaki et al., 2019, 2020a). The NOx emissions from the JPL chemical reanalysis (Fig. 1a) are constrained by assimilating O3, NO2, CO, HNO3, and SO2 from the OMI, GOME-2, SCIAMACHY, MLS, TES, and MOPITT satellite instruments (Miyazaki et al., 2020a) and are considered to have the highest accuracy in spite of the relatively low spatial resolution."
10.5194/acp-25-15527-2025,Simple Citation,Level 1: Data Usage,5,Quantifying CO emissions from boreal wildfires by assimilating TROPOMI and TCCON observations,Atmospheric Chemistry and Physics,"We perform a global inverse modelling analysis to quantify biomass burning emissions of carbon monoxide (CO) from the extreme wildfires in Canada between May and September 2023. Using the GEOS-Chem model, we assimilated observations at 3 d temporal and 2° × 2.5° horizontal resolution from the Tropospheric Monitoring Instrument (TROPOMI) separately and then jointly with Total Carbon Column Observing Network (TCCON) measurements."
10.5194/acp-22-12559-2022,Simple Citation,Level 1: Data Usage,5,Multi-axis differential optical absorption spectroscopy (MAX-DOAS) observations of formaldehyde and nitrogen dioxide at three sites in Asia and comparison with the global chemistry transport model CHASER,Atmospheric Chemistry and Physics,"Miyazaki et al. (2020): Updated tropospheric chemistry reanalysis and emission estimates, TCR-2, for 2005–2018. They found a continuous 30% increase in NOx emissions in India since 2005."
10.5194/acp-23-789-2023,Simple Citation,Level 1: Data Usage,4,Reconciling the bottom-up and top-down estimates of the methane chemical sink using multiple observations,Atmospheric Chemistry and Physics,"The paper uses ""the monthly 3D distributions of CH4 mass (m(CH4)) during 2000–2009 are from data assimilation of surface CH4 observations from NOAA/ESRL (Dlugokencky et al., 1994) and the Ta distributions are from MERRA-2 reanalysis data (see Sect. 2.2)"" and also mentions ""Updated tropospheric chemistry reanalysis and emission estimates, TCR-2, for 2005–2018, Earth Syst. Sci. Data, 12, 2223–2259, https://doi.org/10.5194/essd-12-2223-2020 , 2020."" in the marker context. This indicates the use of MOMO-CHEM's outputs/products."
