doi,previous_label,new_label,confidence,title,venue,justification
10.1088/1748-9326/ac243d,Simple Citation,Data Usage,5,A new methodology for inferring surface ozone from multispectral satellite measurements,Environmental Research Letters,Here we propose a new method to infer spatial variability in surface ozone by combining multispectral ozone retrievals using radiances from the tropospheric emission spectrometer thermal infrared instrument and the ozone monitoring instrument ultratraviolet/visible instrument with a chemical reanalysis.
10.1126/sciadv.abf7460,Simple Citation,Data Usage,5,Global tropospheric ozone responses to reduced NOx emissions linked to the COVID-19 worldwide lockdowns,Science Advances,The basic concentration and emission data used in the study can be downloaded freely from https://tes.jpl.nasa.gov/chemical-reanalysis/. K.M. and K.B. acknowledge the support of the NASA Atmospheric Composition: Aura Science Team Program (19-AURAST19-0044) and the TROPESS project.
10.1029/2021av000469,Simple Citation,Data Usage,5,"The Carbon Cycle of Southeast Australia During 2019-2020: Drought, Fires, and Subsequent Recovery",AGU Advances,CrIS CO is provided by the NASA TRoposperhic Ozone and its Precursors from Earth System Sounding (TROPESS) and available from https://tes.jpl.nasa.gov.
10.5194/acp-25-11719-2025,Simple Citation,Data Usage,5,Assessment of 16-year tropospheric ozone trends from the IASI Climate Data Record,Atmos. Chem. Phys.,The IASI-CDR ozone product is evaluated against TROPESS (TRopospheric Ozone and its Precursors from Earth System Sounding) O 3 retrievals from the Cross-track Infrared Sounder (CrIS).
10.5194/acp-25-8507-2025,Simple Citation,Data Usage,5,Identifying drivers of surface ozone bias in global chemical reanalysis with explainable machine learning,Atmospheric Chemistry and Physics,"The TROPESS chemical reanalysis product, TCR-2, as part of the MOMO-Chem framework was used in this study and is available on the NASA GED DISC website."
10.5194/amt-16-4807-2023,Simple Citation,Data Usage,5,Single field-of-view sounder atmospheric product retrieval algorithm: establishing radiometric consistency for hyper-spectral sounder retrievals,Atmospheric Measurement Techniques,"This paper gives an overview of the SiFSAP retrieval algorithm and assessment of SiFSAP atmospheric temperature, water vapor, clouds, and surface products derived from the Cross-track Infrared Sounder (CrIS) and Advanced Technology Microwave Sounder (ATMS) data."
10.5194/acp-22-8221-2022,Simple Citation,Data Usage,5,Transport of substantial stratospheric ozone to the surface by a dying typhoon and shallow convection,Atmospheric Chemistry and Physics,Satellite-based ozone vertical profiles measured by the AIRS and the OMI under the NASA TRopospheric Ozone and Precursors from Earth System Sounding (TROPESS) project were obtained from https://tes.jpl.nasa.gov/tropess/products/o3/
10.1038/s41893-025-01662-1,Simple Citation,Data Usage,5,Crop water origins and hydroclimate vulnerability of global croplands,Nature Sustainability,The TES products are available at https://asdc.larc.nasa.gov/project/TES/TL2HDOLN_6 . The AIRS products are available via GES DISC at https://disc.gsfc.nasa.gov/datasets?keywords=tropess%20%2B%20airs%20%2B%20reanalysis&page=1 and EarthData at https://www.earthdata.nasa.gov/data/catalog?keyword=TROPESS%20AIRS-Aqua%20Reanalysis
10.5194/acp-25-15969-2025,Simple Citation,Data Usage,5,Intercomparison of global ground-level ozone datasets for health-relevant metrics,Atmospheric Chemistry and Physics,"We utilized surface ozone analysis fields from three chemical reanalysis products: the Tropospheric Chemistry Reanalysis Version 2 (TCR-2; Miyazaki et al., 2020b), the Copernicus Atmosphere Monitoring Service reanalysis (CAMS; Inness et al., 2019), and the GEOS-Chem reanalysis (GEOS; Qu et al., 2020b). Different from the machine learning and geostatistical ozone datasets, the chemical reanalysis products utilized satellite observations of atmospheric composition to produce three-dimensional profiles of atmospheric composition. In s || ucted by the TOAR-II chemical reanalysis working group (Sekiya et al., 2025; Jones et al., 2024; Miyazaki et al., 2025), but without a focus on the ground level and long-term metric as analyzed here. TCR-2 was generated by assimilating multiple satellite observations into the MIROC-Chem model, that was developed as a part of the multi-model multi-constituent data assimilation (Miyazaki et al., 2020a). The meteorological fields were nudged to the European Centre for Medium-Range Weather Forecasts (ECMWF) Interim Reanalysis meteorology. The data assimilation employed is an ensemble Kalman filter tech || ta include ozone, CO, NO 2 , HNO 3 and SO 2 from satellite instruments such as OMI, MLS, GOME-2, SCIAMACHY and MOPITT over the period from 2005 to 2021 (input satellite data summarized in TableÂ S4). TCR-2 provides 2-hourly global ozone profiles at a 1.1Â°â€‰ Ã— â€‰1.1Â° spatial resolution, with the regional mean ozone bias against global ozonesonde measurements ranging from âˆ’ 0.4 to 4.2â€‰ppb in the lower troposphere (850â€“500â€‰hPa) (Miyazaki et al., 2020b). CAMS, operated by the European Centre for Medium-Range Weather Forecasts (ECMWF) on behalf of the European Commission, provides the globa"
10.1186/s40562-020-00161-9,Simple Citation,Data Usage,4,Evaluation of tropospheric ozone reanalyses with independent ozonesonde observations in East Asia,Geoscience Letters,"The paper evaluates tropospheric ozone derived from seven reanalyses, including MERRA2 and TCR-2. MERRA2 is known to assimilate TES/TROPESS data, and TCR-2 is an updated Tropospheric Chemistry Reanalysis."
