doi,previous_label,new_label,confidence,title,venue,justification
10.5194/acp-23-9685-2023,Simple Citation,Level 1: Data Usage,5,"Atmospheric CO2 inversion reveals the Amazon as a minor carbon source caused by fire emissions, with forest uptake offsetting about half of these emissions",Atmospheric Chemistry and Physics,"To evaluate the influence of the biosphere prior on flux estimates, we compare our inversions using the CASA model as land–biosphere prior flux with inversions, using the carbon data model framework (CARDAMOM) (Bloom et al., 2016) as land–biosphere prior flux for South America with 1 ◦ × 1 ◦ spatial and monthly temporal resolutions between 2001 and 2017 (inclusive)."
10.5194/ESD-9-153-2018,Simple Citation,Level 1: Data Usage,5,Reliability ensemble averaging of 21st century projections of terrestrial net primary productivity reduces global and regional uncertainties,Earth System Dynamics,"We perform the REA procedure three times using different observationally constrained estimates of current NPP: retrievals of the terrestrial carbon cycle with the CARbon DAta Model fraMework (CARDAMOM; Bloom et al., 2016) model–data fusion approach"
10.5194/amt-18-4497-2025,Simple Citation,Level 1: Data Usage,5,Validation and assessment of satellite-based columnar CO2 and CH4 mixing ratios from GOSAT and OCO-2 satellites over India,Atmospheric Measurement Techniques,"In the current work, we used data corresponding to the scaling factor with global emissions 166 TgCH4 yr-1, CARDAMOM (CARbon DAta MOdel fraMework) terrestrial C cycle analysis for heterotrophic respiration (Bloom et al., 2016)"
10.5194/essd-17-965-2025,Simple Citation,Level 1: Data Usage,5,Global Carbon Budget 2024,Earth System Science Data,"DGVMs were compared against an analysis based on model–data fusion of the land carbon cycle (CARDAMOM) (Bloom and Williams, 2015; Bloom et al., 2016). Results suggest good correspondence between approaches at interannual timescales but divergence in the recent trend in S LAND , with CARDAMOM simulating a stronger trend than the DGVM multi-model mean (Fig. 9)."
10.5194/essd-15-5301-2023,Simple Citation,Level 1: Data Usage,5,Global Carbon Budget 2023,Earth System Science Data,"S LAND is estimated from the multi-model mean of 20 DGVMs ... with an additional comparison of DGVMs with a data-driven, carbon data model framework (CARDAMOM)"
10.1029/2023AV001024,Simple Citation,Level 1: Data Usage,4,RECCAP2 Future Component: Consistency and Potential for Regional Assessment to Constrain Global Projections,AGU Advances,The CARDAMOM analyses made use of resources provided by the Edinburgh Compute and Data Facility (EDCF)
10.5194/acp-22-1097-2022,Simple Citation,Level 1: Data Usage,5,Four years of global carbon cycle observed from the Orbiting Carbon Observatory 2 (OCO-2) version 9 and in situ data and comparison to OCO-2 version 7,Atmospheric Chemistry and Physics,"A net biospheric exchange (NBE) prior has been constructed using the CARDAMOM framework (Carbon Data Model Framework; Bloom et al., 2016). The CARDAMOM data assimilation system explicitly represents the time-resolved uncertainties in the NBE."
10.5194/BG-17-5669-2020,Simple Citation,Level 1: Data Usage,5,Exploring constraints on a wetland methane emission ensemble (WetCHARTs) using GOSAT observations,Biogeosciences,"For the extended WetCHARTs period of 2009–2018, there is only one heterotrophic-respiration model (CARDAMOM) and two wetland extent parametrisations (using ERA-Interim precipitation) available, giving a total of 18 different configurations."
10.5194/acp-21-951-2021,Simple Citation,Level 1: Data Usage,5,Aircraft-based inversions quantify the importance of wetlands and livestock for Upper Midwest methane emissions,Atmospheric Chemistry and Physics,"R ( t , d ) is heterotrophic respiration rate (mgC/d/m 2 of wetland area) taken as the median monthly value from the Carbon Data Model Framework (CARDAMOM; Bloom et al., 2016)"
10.5194/ACP-18-6483-2018,Simple Citation,Level 1: Data Usage,5,High-resolution inversion of methane emissions in the Southeast US using SEAC 4 RS aircraft observations of atmospheric methane: anthropogenic and wetland sources,Atmospheric Chemistry and Physics,"The heterotrophic respiration rate (R) is the median output from the carbon data model framework (CARDAMOM; Bloom et al., 2016), and is not varied across that ensemble."
10.5194/gmd-15-6637-2022,Simple Citation,Level 2: Model Adaptation,4,Pixel-level parameter optimization of a terrestrial biosphere model for improving estimation of carbon fluxes with an efficient model–data fusion method and satellite-derived LAI and GPP data,Geoscientific Model Development,"For this process, we incorporated part of the carbon allocation in the data assimilation linked ecosystem carbon (DALEC) model (Chuter et al., 2015) into the original IBIS model, a simple box model evaluating daily six-carbon pools for deciduous forests."
