doi,previous_label,new_label,confidence,title,venue,justification
10.5194/CP-17-419-2021,Simple Citation,Level 1: Data Usage,5,In situ cosmogenic 10Be–14C–26Al measurements from recently deglaciated bedrock as a new tool to decipher changes in Greenland Ice Sheet size,Climate of the Past,"We utilize recent paleo-simulations of southwestern GrIS change using the high-resolution Ice Sheet and Sea-level System Model (ISSM; Larour et al., 2012; Cuzzone et al., 2018, 2019; Briner et al., 2020)."
10.5194/ESSD-11-629-2019,Simple Citation,Level 1: Data Usage,4,Sea-level fingerprints emergent from GRACE mission data,Earth System Science Data,"Panel (f) is meant to show that our solutions are comparable to those obtained from a well-validated and higher-resolution ISSM sea-level solver (Adhikari et al., 2016); note that the solution discrepancy is within the 1 σ uncertainties (compare with panel d)."
10.5194/TC-12-3187-2018,Simple Citation,Level 1: Data Usage,4,A statistical fracture model for Antarctic ice shelves and glaciers,The Cryosphere,"Data about geometry and velocity used in our statistical model were taken from observations, while other flow and geometry parameters were calculated either using ISSM or independently (described in Sect. 4.2)."
10.5194/TC-12-2637-2018,Simple Citation,Level 1: Data Usage,5,"Basal friction of Fleming Glacier, Antarctica – Part 1: Sensitivity of inversion to temperature and bedrock uncertainty",The Cryosphere,"H mc for the yellow area is computed using the Ice Sheet System Model's mass conservation method (Morlighem et al., 2011, 2013), based on ice thickness measurements from the Center for Remote Sensing of Ice Sheets (CReSIS)"
10.5194/gmd-16-5305-2023,Simple Citation,Level 2: Model Adaptation,5,"A parallel implementation of the confined–unconfined aquifer system model for subglacial hydrology: design, verification, and performance analysis (CUAS-MPI v0.1.0)",Geoscientific Model Development,"The paper discusses ""future coupling possibilities of CUAS-MPI with other simulations"" and explicitly states, ""The next step will be the coupling of CUAS-MPI to an ice sheet model, in our case the finite-element-based Ice-sheet and Sea-level System Model (ISSM)""."
10.5194/gmd-18-5311-2025,Simple Citation,Level 2: Model Adaptation,4,"A Python library for solving ice sheet modeling problems using physics-informed neural networks, PINNICLE v1.0",Geoscientific Model Development,"PINNICLE supports a variety of data formats, including CSV, NetCDF, and MATLAB data files. These files can contain scattered data or structured data, such as the model struct from the Ice-sheet and Sea-level System Model (ISSM)."
10.5194/tc-17-3409-2023,Simple Citation,Level 2: Model Adaptation,5,Widespread slowdown in thinning rates of West Antarctic ice shelves,The Cryosphere,"GEMB is run as a module of NASA's open-source Ice-sheet and Sea-level System Model (ISSM). It is a column model (no horizontal communication) of intermediate complexity, simulating thermal diffusion, shortwave subsurface penetration, meltwater retention, percolation and refreeze, effective snow grain size, dendricity, sphericity, and compaction."
10.1038/s41586-022-05037-w,Simple Citation,Level 2: Model Adaptation,4,Antarctic calving loss rivals ice-shelf thinning,Nature,The ISSM and GEMB models used in this work are open-source and publicly available at https://issm.jpl.nasa.gov.
10.5194/tc-18-103-2024,Simple Citation,Level 2: Model Adaptation,4,Using specularity content to evaluate eight geothermal heat flow maps of Totten Glacier,The Cryosphere,"We use a basal energy and water flow model coupled with a 3D full-Stokes ice dynamics model to estimate the basal temperature, basal friction heat and basal melting rate."
10.5194/gmd-18-4045-2025,Simple Citation,Level 3: Foundational Method,5,Computationally efficient subglacial drainage modelling using Gaussian process emulators: GlaDS-GP v1.0,Geoscientific Model Development,"We use the implementation of GlaDS within the Ice-sheet and Sea-level System Model (ISSM; Larour et al., 2012; Ehrenfeucht et al., 2023), v4.24..."
10.5194/gmd-16-2277-2023,Simple Citation,Level 3: Foundational Method,5,Glacier Energy and Mass Balance (GEMB): a model of firn processes for cryosphere research,Geoscientific Model Development,"Here we present a new coupled surface energy balance and firn model, the Glacier Energy and Mass Balance model (GEMB, the “B” is silent), which has been integrated as a module into the Ice-sheet and Sea-level System Model (ISSM)."
